20200316_0000,0
20200316_0100,0
20200316_0200,0
20200316_0300,0
20200316_0400,0
20200316_0500,0
20200316_0600,0
20200316_0700,42
20200316_0800,111
20200316_0900,318
20200316_1000,568
20200316_1100,343
20200316_1200,324
20200316_1300,554
20200316_1400,362
20200316_1500,313
20200316_1600,424
20200316_1700,261
20200316_1800,214
20200316_1900,215
20200316_2000,164
20200316_2100,40
20200316_2200,11
20200316_2300,2
20200317_0000,0
20200317_0100,0
20200317_0200,0
20200317_0300,0
20200317_0400,0
20200317_0500,0
20200317_0600,0
20200317_0700,60
20200317_0800,136
20200317_0900,349
20200317_1000,633
20200317_1100,385
20200317_1200,356
20200317_1300,583
20200317_1400,367
20200317_1500,340
20200317_1600,437
20200317_1700,270
20200317_1800,236
20200317_1900,227
20200317_2000,175
20200317_2100,45
20200317_2200,14
20200317_2300,3
20200318_0000,0
20200318_0100,0
20200318_0200,0
20200318_0300,0
20200318_0400,0
20200318_0500,0
20200318_0600,0
20200318_0700,53
20200318_0800,119
20200318_0900,332
20200318_1000,586
20200318_1100,357
20200318_1200,344
20200318_1300,578
20200318_1400,381
20200318_1500,337
20200318_1600,451
20200318_1700,281
20200318_1800,236
20200318_1900,228
20200318_2000,167
20200318_2100,35
20200318_2200,12
20200318_2300,2
